source	target	weight
tgn,7021610	tgn,7021610	375
tgn,7018995	tgn,7021610	35
tgn,7018995	tgn,7018995	290
tgn,7018023	tgn,7021610	25
tgn,7018023	tgn,7018995	22
tgn,7018023	tgn,7018023	83
tgn,7017751	tgn,7017751	6
tgn,7017750	tgn,7021610	21
tgn,7017750	tgn,7018995	151
tgn,7017750	tgn,7018023	30
tgn,7017750	tgn,7017750	132
tgn,7017708	tgn,7021610	12
tgn,7017708	tgn,7018995	33
tgn,7017708	tgn,7018023	14
tgn,7017708	tgn,7017750	19
tgn,7017708	tgn,7017708	175
tgn,7017649	tgn,7021610	26
tgn,7017649	tgn,7018995	1
tgn,7017649	tgn,7017750	2
tgn,7017649	tgn,7017649	6
tgn,7017498	tgn,7021610	26
tgn,7017498	tgn,7018995	6
tgn,7017498	tgn,7018023	15
tgn,7017498	tgn,7017750	12
tgn,7017498	tgn,7017708	15
tgn,7017498	tgn,7017498	107
tgn,7017496	tgn,7021610	10
tgn,7017496	tgn,7018995	1
tgn,7017496	tgn,7018023	2
tgn,7017496	tgn,7017750	7
tgn,7017496	tgn,7017708	2
tgn,7017496	tgn,7017498	14
tgn,7017496	tgn,7017496	43
tgn,7017444	tgn,7021610	115
tgn,7017444	tgn,7018995	17
tgn,7017444	tgn,7018023	34
tgn,7017444	tgn,7017751	1
tgn,7017444	tgn,7017750	44
tgn,7017444	tgn,7017708	9
tgn,7017444	tgn,7017649	2
tgn,7017444	tgn,7017498	21
tgn,7017444	tgn,7017496	9
tgn,7017444	tgn,7017444	111
tgn,7016154	tgn,7021610	49
tgn,7016154	tgn,7018995	137
tgn,7016154	tgn,7018023	52
tgn,7016154	tgn,7017751	6
tgn,7016154	tgn,7017750	77
tgn,7016154	tgn,7017708	382
tgn,7016154	tgn,7017498	28
tgn,7016154	tgn,7017496	6
tgn,7016154	tgn,7017444	17
tgn,7016154	tgn,7016154	711
tgn,7016129	tgn,7018995	9
tgn,7016129	tgn,7018023	10
tgn,7016129	tgn,7017750	5
tgn,7016129	tgn,7017708	16
tgn,7016129	tgn,7017498	3
tgn,7016129	tgn,7017496	1
tgn,7016129	tgn,7017444	4
tgn,7016129	tgn,7016154	9
tgn,7016129	tgn,7016129	19
tgn,7014729	tgn,7018995	3
tgn,7014729	tgn,7018023	2
tgn,7014729	tgn,7017751	1
tgn,7014729	tgn,7017708	23
tgn,7014729	tgn,7017498	3
tgn,7014729	tgn,7017444	17
tgn,7014729	tgn,7016129	9
tgn,7014729	tgn,7014729	43
tgn,7014664	tgn,7021610	14
tgn,7014664	tgn,7018995	3
tgn,7014664	tgn,7018023	4
tgn,7014664	tgn,7017750	1
tgn,7014664	tgn,7017708	8
tgn,7014664	tgn,7017498	1
tgn,7014664	tgn,7017496	2
tgn,7014664	tgn,7017444	3
tgn,7014664	tgn,7016154	24
tgn,7014664	tgn,7016129	2
tgn,7014664	tgn,7014664	10
tgn,7014631	tgn,7021610	21
tgn,7014631	tgn,7018995	6
tgn,7014631	tgn,7018023	21
tgn,7014631	tgn,7017751	1
tgn,7014631	tgn,7017750	22
tgn,7014631	tgn,7017708	7
tgn,7014631	tgn,7017649	1
tgn,7014631	tgn,7017498	21
tgn,7014631	tgn,7017496	7
tgn,7014631	tgn,7017444	25
tgn,7014631	tgn,7016154	36
tgn,7014631	tgn,7016129	3
tgn,7014631	tgn,7014631	56
tgn,7014629	tgn,7021610	1
tgn,7014629	tgn,7018995	1
tgn,7014629	tgn,7017750	1
tgn,7014629	tgn,7017708	5
tgn,7014629	tgn,7017498	3
tgn,7014629	tgn,7016154	3
tgn,7014629	tgn,7014729	6
tgn,7014629	tgn,7014629	45
tgn,7014620	tgn,7021610	9
tgn,7014620	tgn,7018995	10
tgn,7014620	tgn,7018023	11
tgn,7014620	tgn,7017751	1
tgn,7014620	tgn,7017750	6
tgn,7014620	tgn,7017708	77
tgn,7014620	tgn,7017498	8
tgn,7014620	tgn,7017444	4
tgn,7014620	tgn,7016154	63
tgn,7014620	tgn,7016129	25
tgn,7014620	tgn,7014729	59
tgn,7014620	tgn,7014664	4
tgn,7014620	tgn,7014631	10
tgn,7014620	tgn,7014629	3
tgn,7014620	tgn,7014620	146
tgn,7014538	tgn,7018995	4
tgn,7014538	tgn,7018023	7
tgn,7014538	tgn,7017750	8
tgn,7014538	tgn,7017708	100
tgn,7014538	tgn,7017498	29
tgn,7014538	tgn,7016154	69
tgn,7014538	tgn,7016129	26
tgn,7014538	tgn,7014729	56
tgn,7014538	tgn,7014631	4
tgn,7014538	tgn,7014629	2
tgn,7014538	tgn,7014620	173
tgn,7014538	tgn,7014538	97
tgn,7014487	tgn,7021610	84
tgn,7014487	tgn,7018995	11
tgn,7014487	tgn,7018023	32
tgn,7014487	tgn,7017750	38
tgn,7014487	tgn,7017708	16
tgn,7014487	tgn,7017498	58
tgn,7014487	tgn,7017496	26
tgn,7014487	tgn,7017444	82
tgn,7014487	tgn,7016154	36
tgn,7014487	tgn,7016129	6
tgn,7014487	tgn,7014664	3
tgn,7014487	tgn,7014631	73
tgn,7014487	tgn,7014620	10
tgn,7014487	tgn,7014538	5
tgn,7014487	tgn,7014487	336
tgn,7014456	tgn,7021610	10
tgn,7014456	tgn,7018995	13
tgn,7014456	tgn,7018023	14
tgn,7014456	tgn,7017750	5
tgn,7014456	tgn,7017708	3
tgn,7014456	tgn,7017498	4
tgn,7014456	tgn,7017496	3
tgn,7014456	tgn,7017444	6
tgn,7014456	tgn,7016154	44
tgn,7014456	tgn,7016129	4
tgn,7014456	tgn,7014664	2
tgn,7014456	tgn,7014631	5
tgn,7014456	tgn,7014620	5
tgn,7014456	tgn,7014538	1
tgn,7014456	tgn,7014487	12
tgn,7014456	tgn,7014456	79
tgn,7014444	tgn,7021610	58
tgn,7014444	tgn,7018995	195
tgn,7014444	tgn,7018023	47
tgn,7014444	tgn,7017750	63
tgn,7014444	tgn,7017708	49
tgn,7014444	tgn,7017649	1
tgn,7014444	tgn,7017498	12
tgn,7014444	tgn,7017496	25
tgn,7014444	tgn,7017444	31
tgn,7014444	tgn,7016154	161
tgn,7014444	tgn,7016129	19
tgn,7014444	tgn,7014729	1
tgn,7014444	tgn,7014664	16
tgn,7014444	tgn,7014631	21
tgn,7014444	tgn,7014629	2
tgn,7014444	tgn,7014620	34
tgn,7014444	tgn,7014538	12
tgn,7014444	tgn,7014487	31
tgn,7014444	tgn,7014456	57
tgn,7014444	tgn,7014444	288
tgn,7014406	tgn,7021610	121
tgn,7014406	tgn,7018995	95
tgn,7014406	tgn,7018023	103
tgn,7014406	tgn,7017751	2
