source	target	weight
tgn,7021610	tgn,7021610	452
tgn,7018995	tgn,7021610	37
tgn,7018995	tgn,7018995	377
tgn,7018023	tgn,7021610	30
tgn,7018023	tgn,7018995	253
tgn,7018023	tgn,7018023	2578
tgn,7017751	tgn,7018995	16
tgn,7017751	tgn,7018023	57
tgn,7017751	tgn,7017751	39
tgn,7017750	tgn,7021610	23
tgn,7017750	tgn,7018995	366
tgn,7017750	tgn,7018023	766
tgn,7017750	tgn,7017751	13
tgn,7017750	tgn,7017750	816
tgn,7017708	tgn,7021610	14
tgn,7017708	tgn,7018995	87
tgn,7017708	tgn,7018023	232
tgn,7017708	tgn,7017751	4
tgn,7017708	tgn,7017750	200
tgn,7017708	tgn,7017708	1285
tgn,7017649	tgn,7021610	26
tgn,7017649	tgn,7018995	147
tgn,7017649	tgn,7018023	165
tgn,7017649	tgn,7017751	37
tgn,7017649	tgn,7017750	554
tgn,7017649	tgn,7017708	218
tgn,7017649	tgn,7017649	780
tgn,7017544	tgn,7021610	1
tgn,7017544	tgn,7018995	21
tgn,7017544	tgn,7018023	803
tgn,7017544	tgn,7017751	14
tgn,7017544	tgn,7017750	72
tgn,7017544	tgn,7017708	60
tgn,7017544	tgn,7017649	9
tgn,7017544	tgn,7017544	297
tgn,7017498	tgn,7021610	26
tgn,7017498	tgn,7018995	6
tgn,7017498	tgn,7018023	36
tgn,7017498	tgn,7017751	2
tgn,7017498	tgn,7017750	31
tgn,7017498	tgn,7017708	32
tgn,7017498	tgn,7017649	23
tgn,7017498	tgn,7017498	227
tgn,7017496	tgn,7021610	10
tgn,7017496	tgn,7018995	15
tgn,7017496	tgn,7018023	189
tgn,7017496	tgn,7017751	31
tgn,7017496	tgn,7017750	199
tgn,7017496	tgn,7017708	61
tgn,7017496	tgn,7017649	203
tgn,7017496	tgn,7017544	24
tgn,7017496	tgn,7017498	69
tgn,7017496	tgn,7017496	1582
tgn,7017444	tgn,7021610	135
tgn,7017444	tgn,7018995	38
tgn,7017444	tgn,7018023	406
tgn,7017444	tgn,7017751	10
tgn,7017444	tgn,7017750	231
tgn,7017444	tgn,7017708	68
tgn,7017444	tgn,7017649	135
tgn,7017444	tgn,7017544	101
tgn,7017444	tgn,7017498	36
tgn,7017444	tgn,7017496	104
tgn,7017444	tgn,7017444	399
tgn,7016154	tgn,7021610	49
tgn,7016154	tgn,7018995	169
tgn,7016154	tgn,7018023	198
tgn,7016154	tgn,7017751	35
tgn,7016154	tgn,7017750	106
tgn,7016154	tgn,7017708	1076
tgn,7016154	tgn,7017649	44
tgn,7016154	tgn,7017544	39
tgn,7016154	tgn,7017498	29
tgn,7016154	tgn,7017496	26
tgn,7016154	tgn,7017444	42
tgn,7016154	tgn,7016154	1336
tgn,7016129	tgn,7021610	1
tgn,7016129	tgn,7018995	32
tgn,7016129	tgn,7018023	732
tgn,7016129	tgn,7017751	5
tgn,7016129	tgn,7017750	102
tgn,7016129	tgn,7017708	106
tgn,7016129	tgn,7017649	54
tgn,7016129	tgn,7017544	202
tgn,7016129	tgn,7017498	7
tgn,7016129	tgn,7017496	15
tgn,7016129	tgn,7017444	82
tgn,7016129	tgn,7016154	160
tgn,7016129	tgn,7016129	294
tgn,7014729	tgn,7018995	10
tgn,7014729	tgn,7018023	21
tgn,7014729	tgn,7017751	1
tgn,7014729	tgn,7017750	14
tgn,7014729	tgn,7017708	69
tgn,7014729	tgn,7017649	28
tgn,7014729	tgn,7017498	12
tgn,7014729	tgn,7017496	33
tgn,7014729	tgn,7017444	22
tgn,7014729	tgn,7016154	47
tgn,7014729	tgn,7016129	10
tgn,7014729	tgn,7014729	304
tgn,7014664	tgn,7021610	18
tgn,7014664	tgn,7018995	21
tgn,7014664	tgn,7018023	140
tgn,7014664	tgn,7017750	27
tgn,7014664	tgn,7017708	52
tgn,7014664	tgn,7017649	18
tgn,7014664	tgn,7017544	7
tgn,7014664	tgn,7017498	1
tgn,7014664	tgn,7017496	4
tgn,7014664	tgn,7017444	18
tgn,7014664	tgn,7016154	46
tgn,7014664	tgn,7016129	50
tgn,7014664	tgn,7014729	2
tgn,7014664	tgn,7014664	468
tgn,7014631	tgn,7021610	21
tgn,7014631	tgn,7018995	16
tgn,7014631	tgn,7018023	72
tgn,7014631	tgn,7017751	2
tgn,7014631	tgn,7017750	42
tgn,7014631	tgn,7017708	18
tgn,7014631	tgn,7017649	12
tgn,7014631	tgn,7017544	9
tgn,7014631	tgn,7017498	57
tgn,7014631	tgn,7017496	34
tgn,7014631	tgn,7017444	72
tgn,7014631	tgn,7016154	39
tgn,7014631	tgn,7016129	18
tgn,7014631	tgn,7014729	18
tgn,7014631	tgn,7014664	12
tgn,7014631	tgn,7014631	202
tgn,7014629	tgn,7021610	1
tgn,7014629	tgn,7018995	20
tgn,7014629	tgn,7018023	41
tgn,7014629	tgn,7017751	6
tgn,7014629	tgn,7017750	27
tgn,7014629	tgn,7017708	72
tgn,7014629	tgn,7017649	30
tgn,7014629	tgn,7017544	1
tgn,7014629	tgn,7017498	5
tgn,7014629	tgn,7017496	21
tgn,7014629	tgn,7017444	10
tgn,7014629	tgn,7016154	33
