id	label	lat	lon
tgn,7013964	Richmond, VA	37.55376	-77.46026
tgn,7013962	Washington, DC	38.889931	-77.009003
tgn,7013582	Charleston, SC	32.77657	-79.93092
tgn,7013352	Baltimore, MD	39.29038	-76.61219
tgn,7014404	Petersburg, VA	38.90928	-78.05333
tgn,7014231	Norfolk, VA	36.84681	-76.28522
tgn,7013943	Fredericksburg, VA	38.30318	-77.46054
tgn,7014406	Philadelphia, PA	39.95233	-75.16379
tgn,7018023	Vicksburg, MS	32.35265	-90.87788
tgn,7013981	Lynchburg, VA	37.41375	-79.14225
tgn,7017444	Mobile, AL	30.69436	-88.04305
tgn,2112877	Manassas, VA	38.75095	-77.47527
tgn,2308580	East Nashville, TN	36.17256	-86.75972
tgn,7014487	Savannah, GA	32.08354	-81.09983
tgn,7013269	Alexandria, VA	38.80484	-77.04692
tgn,1002467	Henrico, VA	36.59264	-78.61611
tgn,7017708	Winchester, VA	39.18566	-78.16333
tgn,7014631	Wilmington, NC	34.22573	-77.94471
tgn,7013445	Boston, MA	42.35843	-71.05977
tgn,7013331	Atlanta, GA	33.749	-84.38798
tgn,7017750	Memphis, TN	35.14953	-90.04898
tgn,7017498	Augusta, GA	33.47097	-81.97484
tgn,7017496	Chattanooga, TN	35.04563	-85.30968
tgn,7016154	Harpers Ferry, WV	39.32538	-77.73888
tgn,7014538	Staunton, VA	38.14991	-79.0732
tgn,7014444	Saint Louis, MO	38.627003	-90.199402
tgn,1002467	Henrico, VA	36.59264	-78.61611
tgn,7013841	Knoxville, TN	35.96064	-83.92074
tgn,7013915	Louisville, KY	38.25424	-85.75941
tgn,1002451	Hanover County, VA	37.76015	-77.49087
tgn,7014729	Danville, VA	36.58597	-79.39502
tgn,6002055	Fort Henry, TN	36.50727	-88.01586
tgn,2115169	Yorktown, VA	37.23876	-76.50967
tgn,7013604	Cincinnati, OH	39.12711	-84.51439
tgn,7014278	Portsmouth, VA	36.83543	-76.29827
tgn,7013641	Columbia, SC	34.00071	-81.03481
tgn,7013949	Raleigh, NC	35.7721	-78.63861
tgn,7013928	Montgomery, AL	32.36681	-86.29997
tgn,2114999	West Point, VA	37.68374	-75.85243
tgn,7014629	Williamsburg, VA	37.2707	-76.70746
tgn,2240477	City Point, VA	37.31737	-77.27692
tgn,7013972	Pensacola, FL	30.42131	-87.21691
tgn,7017649	Corinth, MS	34.93425	-88.52227
tgn,2112147	Hanover, VA	37.76653	-77.37026
tgn,2111971	Gordonsville, VA	38.13736	-78.18778
tgn,2557597	Old Point, NC	35.69378	-75.71629
tgn,7013585	Charlottesville, VA	38.02931	-78.47668
tgn,2024102	Rome, GA	34.25704	-85.16467
tgn,7016129	Jackson, MS	32.29876	-90.18481
tgn,7013952	Providence, RI	41.82399	-71.41283
tgn,7018995	Cairo Junction, IL	37.04088	-89.19174
tgn,7013687	Hampton, VA	37.02987	-76.34522
tgn,7014197	New Bern, NC	35.10849	-77.04411
tgn,7013889	Lexington, VA	38.19735	-78.48223
tgn,7013596	Chicago, IL	41.85003	-87.65005
tgn,2114436	Suffolk, VA	36.72836	-76.58496
tgn,2119135	Martinsburg, WV	39.45621	-77.96389
tgn,2038271	Columbus, KY	38.03702	-84.36549
tgn,7013988	Bull Run, VA	37.0332	-79.62503
tgn,7021610	Fort Pickens, FL	30.32881	-87.29914
tgn,2110477	Ashland, VA	37.75903	-77.47998
tgn,7013962	District of Columbia, DC	38.91706	-77.00025
tgn,2002163	Goochland, VA	37.68431	-77.88527
tgn,1002267	Chesterfield, VA	37.37709	-77.50582
tgn,2112647	Leesburg, VA	39.11566	-77.5636
tgn,7014175	Murfreesboro, TN	35.84562	-86.39027
tgn,2096511	Port Royal, SC	32.37908	-80.69261
tgn,2335409	Fort Moultrie, SC	32.75907	-79.85786
tgn,2525074	Morris Island, SC	32.71573	-79.89037
tgn,7013980	Macon, GA	32.84069	-83.6324
tgn,7014620	Wheeling, WV	40.06396	-80.72091
tgn,2111165	Chesterfield, VA	37.37709	-77.50582
tgn,7014664	Tunstall, VA	37.59626	-77.10247
tgn,7013584	Charlotte, NC	35.22709	-80.84313
tgn,2022620	Dalton, GA	34.16594	-83.17043
tgn,7014060	Gettysburg, PA	39.83093	-77.2311
tgn,2111394	Culpeper, VA	38.47318	-77.99666
